datetime[UTC],x(km),y(km),z(km),AE_index,Pdyn,Dst_index,VxSW_GSE,F107,FootType
2025-10-01T04:00:00,20318.972101,-2958.988311,50029.779567,188.53718986827425,2.166883589913891,-16.145212613358,-415.7228828653009,183.84879759038785,2
2025-10-01T04:10:00,19930.485522,-3056.952414,51763.8672,188.53865106997824,2.166889984720375,-16.145456424503962,-415.7227063472994,183.848448661287,2
2025-10-01T04:20:00,19525.278641,-3152.262956,53454.613039,188.5401123127048,2.166896378798349,-16.145700240813795,-415.7225298491298,183.84809971579708,2
2025-10-01T04:30:00,19104.904382,-3245.032008,55103.91808,188.54157359645168,2.166902772147876,-16.145944062287256,-415.7223533707931,183.84775075391843,2
2025-10-01T04:40:00,18670.741838,-3335.362852,56713.536021,188.54303492121684,2.166909164769017,-16.14618788892411,-415.7221769122898,183.84740177565152,2
2025-10-01T04:50:00,18224.020793,-3423.350902,58285.088367,188.5444962869982,2.166915556661836,-16.14643172072412,-415.7220004736211,183.8470527809968,2
2025-10-01T05:00:00,17765.842122,-3509.084511,59820.077687,188.5459576937936,2.166921947826393,-16.146675557687043,-415.7218240547877,183.8467037699546,2
2025-10-01T05:10:00,17297.194868,-3592.64568,61319.899272,188.54741914160093,2.166928338262751,-16.146919399812646,-415.7216476557904,183.84635474252545,0
2025-10-01T05:20:00,16818.970608,-3674.110672,62785.851398,188.54888063041813,2.166934727970972,-16.14716324710068,-415.7214712766303,183.84600569870963,0
2025-10-01T05:30:00,16331.97562,-3753.550565,64219.144399,188.5503421602432,2.166941116951117,-16.14740709955091,-415.72129491730783,183.8456566385078,0
2025-10-01T05:40:00,15836.941231,-3831.031729,65620.908696,188.551803731074,2.1669475052032503,-16.14765095716311,-415.72111857782426,183.8453075619201,0
2025-10-01T05:50:00,15334.532656,-3906.616255,66992.201925,188.55326534290825,2.166953892727431,-16.147894819937022,-415.7209422581802,183.84495846894708,0
2025-10-01T06:00:00,14825.356597,-3980.362335,68334.015287,188.5547269957441,2.166960279523724,-16.148138687872414,-415.7207659583766,183.8446093595892,0
2025-10-01T06:10:00,14309.967788,-4052.324597,69647.279203,188.5561886895793,2.1669666655921893,-16.14838256096905,-415.7205896784144,183.84426023384688,0
2025-10-01T06:20:00,13788.874661,-4122.554409,70932.868379,188.5576504244117,2.166973050932889,-16.14862643922669,-415.72041341829424,183.84391109172043,0
2025-10-01T06:30:00,13262.544281,-4191.100146,72191.606342,188.5591122002395,2.166979435545886,-16.1488703226451,-415.7202371780172,183.8435619332104,0
2025-10-01T06:40:00,12731.406636,-4258.007432,73424.269518,188.5605740170604,2.166985819431243,-16.149114211224024,-415.720060957584,183.84321275831724,0
2025-10-01T06:50:00,12195.858404,-4323.319361,74631.590901,188.56203587487207,2.1669922025890203,-16.14935810496323,-415.7198847569956,183.84286356704123,0
2025-10-01T07:00:00,11656.266251,-4387.076686,75814.263366,188.5634977736729,2.166998585019281,-16.149602003862498,-415.7197085762528,183.84251435938293,0
2025-10-01T07:10:00,11112.969748,-4449.318003,76972.94267,188.56495971346047,2.167004966722086,-16.149845907921566,-415.7195324153564,183.84216513534267,0
2025-10-01T07:20:00,10566.283939,-4510.079905,78108.250158,188.5664216942328,2.1670113476974984,-16.150089817140206,-415.7193562743072,183.84181589492084,0
2025-10-01T07:30:00,10016.501618,-4569.397132,79220.775235,188.56788371598776,2.1670177279455807,-16.150333731518174,-415.7191801531063,183.841466638118,0
2025-10-01T07:40:00,9463.895355,-4627.302699,80311.077607,188.5693457787232,2.167024107466393,-16.150577651055237,-415.7190040517544,183.8411173649345,0
2025-10-01T07:50:00,8908.7193,-4683.82802,81379.689322,188.57080788243712,2.1670304862600007,-16.15082157575115,-415.71882797025233,183.84076807537068,0
2025-10-01T08:00:00,8351.210793,-4739.003012,82427.116639,188.5722700271274,2.1670368643264624,-16.151065505605672,-415.718651908601,183.84041876942703,0
2025-10-01T08:10:00,7791.591804,-4792.856202,83453.841731,188.5737322127919,2.167043241665841,-16.151309440618576,-415.71847586680144,183.84006944710416,0
2025-10-01T08:20:00,7230.070231,-4845.414812,84460.324253,188.57519443942857,2.1670496182782,-16.151553380789608,-415.7182998448541,183.83972010840225,0
2025-10-01T08:30:00,6666.841054,-4896.704846,85447.002774,188.57665670703528,2.1670559941636,-16.151797326118537,-415.7181238427601,183.8393707533217,0
2025-10-01T08:40:00,6102.087395,-4946.751169,86414.296094,188.57811901561,2.167062369322103,-16.15204127660513,-415.7179478605204,183.8390213818631,0
2025-10-01T08:50:00,5535.981453,-4995.577575,87362.604463,188.5795813651505,2.167068743753772,-16.15228523224913,-415.71777189813565,183.8386719940268,0
2025-10-01T09:00:00,4968.685367,-5043.206851,88292.310692,188.58104375565472,2.167075117458668,-16.15252919305032,-415.7175959556068,183.8383225898132,0
2025-10-01T09:10:00,4400.35199,-5089.660842,89203.781191,188.5825061871208,2.1670814904368534,-16.152773159008444,-415.7174200329347,183.8379731692228,0
2025-10-01T09:20:00,3831.125592,-5134.960504,90097.366924,188.5839686595463,2.1670878626883905,-16.153017130123274,-415.71724413012,183.83762373225585,0
2025-10-01T09:30:00,3261.142503,-5179.125953,90973.404289,188.5854311729293,2.1670942342133417,-16.153261106394567,-415.717068247164,183.83727427891296,0
2025-10-01T09:40:00,2690.531695,-5222.176519,91832.215938,188.5868937272677,2.1671006050117683,-16.15350508782208,-415.7168923840671,183.83692480919453,0
2025-10-01T09:50:00,2119.415315,-5264.130782,92674.111538,188.5883563225593,2.1671069750837324,-16.153749074405575,-415.7167165408305,183.83657532310093,0
2025-10-01T10:00:00,1547.909174,-5305.006623,93499.388476,188.58981895880228,2.167113344429296,-16.153993066144817,-415.71654071745496,183.8362258206325,0
2025-10-01T10:10:00,976.123191,-5344.821251,94308.332515,188.59128163599428,2.1671197130485216,-16.15423706303957,-415.7163649139412,183.83587630178985,1
2025-10-01T10:20:00,404.1618,-5383.591248,95101.218408,188.59274435413323,2.167126080941471,-16.154481065089588,-415.7161891302901,183.8355267665732,1
2025-10-01T10:30:00,-167.87567,-5421.332597,95878.310463,188.59420711321715,2.167132448108206,-16.15472507229463,-415.7160133665028,183.8351772149832,1
2025-10-01T10:40:00,-739.894654,-5458.060715,96639.863081,188.59566991324385,2.167138814548789,-16.154969084654475,-415.7158376225798,183.8348276470201,1
2025-10-01T10:50:00,-1311.805031,-5493.790481,97386.121246,188.5971327542112,2.1671451802632813,-16.155213102168858,-415.71566189852206,183.83447806268435,1
2025-10-01T11:00:00,-1883.520836,-5528.536262,98117.320997,188.5985956361172,2.1671515452517456,-16.15545712483756,-415.7154861943305,183.8341284619765,1
2025-10-01T11:10:00,-2454.959981,-5562.31194,98833.689858,188.6000585589598,2.167157909514244,-16.155701152660328,-415.7153105100061,183.8337788448968,1
2025-10-01T11:20:00,-3026.044014,-5595.130936,99535.447245,188.60152152273668,2.1671642730508385,-16.15594518563693,-415.7151348455495,183.8334292114457,1
2025-10-01T11:30:00,-3596.697885,-5627.006229,100222.804853,188.602984527446,2.1671706358615905,-16.15618922376713,-415.7149592009616,183.8330795616237,1
2025-10-01T11:40:00,-4166.849728,-5657.950382,100895.967008,188.60444757308545,2.1671769979465627,-16.156433267050687,-415.7147835762432,183.8327298954312,1
2025-10-01T11:50:00,-4736.430668,-5687.975555,101555.131011,188.60591065965312,2.1671833593058167,-16.156677315487357,-415.7146079713955,183.83238021286863,1
2025-10-01T12:00:00,-5305.374637,-5717.093529,102200.487449,188.6073737871468,2.1671897199394152,-16.15692136907691,-415.7144323864189,183.8320305139364,1
2025-10-01T12:10:00,-5873.618197,-5745.315721,102832.220496,188.60883695556447,2.1671960798474186,-16.1571654278191,-415.71425682131456,183.8316807986349,1
2025-10-01T12:20:00,-6441.100386,-5772.653201,103450.508193,188.61030016490392,2.167202439029891,-16.157409491713686,-415.7140812760831,183.83133106696457,1
2025-10-01T12:30:00,-7007.762568,-5799.116704,104055.522713,188.61176341516315,2.167208797486894,-16.157653560760433,-415.7139057507257,183.83098131892592,1
2025-10-01T12:40:00,-7573.548294,-5824.71665,104647.43061,188.61322670634004,2.167215155218489,-16.157897634959102,-415.7137302452429,183.83063155451924,1
2025-10-01T12:50:00,-8138.403174,-5849.463155,105226.393056,188.61469003843249,2.167221512224737,-16.15814171430946,-415.71355475963566,183.830281773745,1
2025-10-01T13:00:00,-8702.274755,-5873.366041,105792.56606,188.61615341143832,2.1672278685057025,-16.158385798811253,-415.713379293905,183.82993197660377,1
2025-10-01T13:10:00,-9265.112411,-5896.434855,106346.100684,188.6176168253556,2.167234224061446,-16.158629888464255,-415.7132038480516,183.82958216309564,1
2025-10-01T13:20:00,-9826.867234,-5918.678873,106887.143234,188.6190802801821,2.167240578892029,-16.158873983268226,-415.71302842207626,183.8292323332213,1
2025-10-01T13:30:00,-10387.491937,-5940.107117,107415.835458,188.62054377591588,2.167246932997516,-16.159118083222918,-415.71285301598,183.8288824869812,1
2025-10-01T13:40:00,-10946.940762,-5960.728362,107932.314716,188.62200731255464,2.167253286377965,-16.159362188328107,-415.7126776297636,183.8285326243755,1
2025-10-01T13:50:00,-11505.169392,-5980.551145,108436.714151,188.6234708900964,2.167259639033442,-16.159606298583537,-415.712502263428,183.8281827454049,1
2025-10-01T14:00:00,-12062.134868,-5999.583779,108929.162854,188.62493450853904,2.167265990964008,-16.159850413988984,-415.712326916974,183.82783285006968,1
2025-10-01T14:10:00,-12617.795516,-6017.834356,109409.786009,188.6263981678805,2.167272342169724,-16.160094534544193,-415.71215159040224,183.8274829383703,1
2025-10-01T14:20:00,-13172.110871,-6035.31076,109878.705043,188.62786186811863,2.167278692650651,-16.160338660248936,-415.7119762837139,183.82713301030725,1
2025-10-01T14:30:00,-13725.04161,-6052.020673,110336.037757,188.62932560925137,2.1672850424068533,-16.160582791102975,-415.7118009969098,183.82678306588085,1
2025-10-01T14:40:00,-14276.549489,-6067.971582,110781.898465,188.6307893912765,2.1672913914383924,-16.16082692710607,-415.71162572999066,183.82643310509147,1
2025-10-01T14:50:00,-14826.597281,-6083.170788,111216.398107,188.6322532141922,2.1672977397453304,-16.16107106825798,-415.7114504829573,183.82608312793965,1
2025-10-01T15:00:00,-15375.14872,-6097.625411,111639.644378,188.63371707799607,2.1673040873277283,-16.16131521455846,-415.71127525581073,183.8257331344258,1
2025-10-01T15:10:00,-15922.168447,-6111.342397,112051.74183,188.6351809826864,2.1673104341856484,-16.161559366007282,-415.7111000485518,183.8253831245504,1
2025-10-01T15:20:00,-16467.621956,-6124.328526,112452.791987,188.63664492826064,2.167316780319154,-16.161803522604202,-415.7109248611813,183.8250330983137,1
2025-10-01T15:30:00,-17011.475552,-6136.590415,112842.89344,188.63810891471687,2.167323125728307,-16.162047684348984,-415.71074969370005,183.8246830557162,1
2025-10-01T15:40:00,-17553.696298,-6148.134527,113222.141948,188.6395729420532,2.167329470413167,-16.16229185124138,-415.710574546109,183.8243329967584,1
2025-10-01T15:50:00,-18094.251975,-6158.967174,113590.630532,188.64103701026724,2.1673358143737995,-16.162536023281156,-415.71039941840894,183.82398292144063,1
2025-10-01T16:00:00,-18633.111043,-6169.094522,113948.449556,188.642501119357,2.167342157610263,-16.162780200468085,-415.7102243106006,183.82363282976343,1
2025-10-01T16:10:00,-19170.242597,-6178.522598,114295.68682,188.6439652693205,2.1673485001226225,-16.163024382801908,-415.7100492226852,183.82328272172705,1
2025-10-01T16:20:00,-19705.616335,-6187.257292,114632.427633,188.64542946015544,2.167354841910939,-16.163268570282394,-415.7098741546633,183.8229325973321,1
2025-10-01T16:30:00,-20239.202517,-6195.304366,114958.754894,188.64689369185984,2.167361182975274,-16.163512762909313,-415.70969910653577,183.82258245657883,1
